username,comment,commentDate,comments,label
ardidjadil,"Jika kesalahan tidak disengaja bisa dimaafkan dan mempertanggungjawabkan dihadapan  masyarakat , tapi kalau ada unsur disengaja maka langsung di penjarakan dan diasingkan",2024-03-22T05:36:03.000Z,"b'If the mistake was unintentional you can be forgiven and be held accountable before society, but if there is an intentional element then you will immediately be imprisoned and exiled'",NEGATIVE
reyvan.sitanggang.92,"Ilmu token bosque, semakin sedikit semakin berisik🤣",2024-03-22T06:37:00.000Z,"b'Bosque token science, the less the noisier'",NEGATIVE
rianirsah,Ini persinya KPU  Bapak  Hasim toh 🤣,2024-03-22T10:03:27.000Z,b'This is Mr Hasim's KPU statement anyway',NEGATIVE
titin_brahmantini,Suara tertinggi itu suaranya siapa. Kok  masyarakat   yang katanya mendukung malah pada demo ???,2024-03-22T10:44:14.000Z,b'Whose voice is the highest? How come people who say they support them are actually at the demonstration???',NEGATIVE
mniwwirawan20,"""Kita akan menang dalam satuuuuu putaraaannnn"" kata-kata siapa tuh yak? Kaya pernah denger. Hmmmm mencurigakan",2024-03-22T11:30:40.000Z,"b'""We'll win in oneooooo round"" whose words are those? Like I've heard it before. Hmmmm suspicious'",NEGATIVE
nitnit2410,Rekayasa  yang  sempurna.. Tercapai tujuan mereka.. Negara diambang kehancuran karena korupsi akan merajalela,2024-03-22T14:03:23.000Z,b'Perfect engineering.. Their goal was achieved.. The country is on the verge of collapse because corruption will become rampant',NEGATIVE
sunardibakso59,Pak Surya Paloh OPOSISI itu berat  Bapak,2024-03-22T14:47:58.000Z,"b'Pak Surya Paloh THE OPPOSITION is heavy, Mr.'",NEGATIVE
sri_adr,Di balek ni,2024-03-22T15:46:47.000Z,b'In this balek',NEGATIVE
ilhamadhyatma,Org bodoh  yang  percaya ni hasilnya..lucu negeri ini,2024-03-23T13:20:11.000Z,b'Stupid people who believe this result..this country is funny',NEGATIVE
77.my_heart,"Sekarang SDH diperbaiki kemarin 100,1%😂",2024-03-23T14:26:00.000Z,Now it WAS repaired yesterday 100.1%',NEGATIVE
sinar_tunggal,Biasa  saja,2024-03-23T15:20:58.000Z,b'Just normal',POSITIVE
rasiaabdullah,Ampong.betul k ini?,2024-03-23T16:56:00.000Z,b'Ampong. Is this correct?',POSITIVE
sweet.emma2709,Terserah kleyan. Dari detik pertama perhitungan angka itu  tidak  berubah.  tidak  malu   sekali   announce,2024-03-23T22:53:44.000Z,b'It's up to you. From the first second the number calculation does not change.  don't be shy about announcing it,POSITIVE
den_jirzis,Keren ya  yang  kata nya  cuma  menang 2 propinsi  tapi  bs 24.9%..brrti  kalau  bs menang 4 propinsi ya ud pst menang donk😂😂😂,2024-03-24T10:30:35.000Z,"b'It's cool that they say they only win 2 provinces but they can win 24.9%... so if you can win 4 provinces then you've definitely won, right?",POSITIVE
dwipw51,Sesuai dengan perolehan partai pendukung. Kurang lebih.  tidak  logis disebut curang,2024-03-24T11:28:59.000Z,In accordance with the acquisition of supporting parties. More or less. it's illogical to be called cheating',NEGATIVE
duniabintang.10,Kami tetap di 01,2024-03-25T00:57:01.000Z,b'We stay at 01',POSITIVE
khatibykamaludin402,Namae  pemilihan umum .jadi unggul  tidak  nya Biasa itulah DEMOKRASI,2024-03-25T06:12:56.000Z,b'Namae general election. So whether it is superior or not Ordinary is DEMOCRACY',NEGATIVE
luckysavitrywidyakusuma,"Pemilu curang,  tidak  akan berkah . . Hanya akan membuat murka Allah SWT . . Kalaupun selamat di dunia,  tidak  akan selamat di akhirat . . Berat hisabnya 🥶",2024-03-25T07:11:46.000Z,"b' Fraudulent elections, will not be a blessing. . It will only make Allah SWT angry. . Even if you are safe in this world, you will not be safe in the afterlife. . It counts'",NEGATIVE
hs.dodo,Sumbernya  dari  KPU sudah  tidak  dipercaya....🤭🤣🤣🤣🤣,2024-03-25T12:22:24.000Z,b'The source from the KPU is no longer trustworthy...',NEGATIVE
putroe_neng12,Pak Prabowo tetap Menyala 🔥,2024-03-26T00:29:54.000Z,b'Pak Prabowo stays on',POSITIVE
fudfirdaus,Boong.,2024-03-26T13:49:08.000Z,b'Boong.',NEGATIVE
troya.the.anarchia,"Pantes berisik   sekali  , 40jt  orang  ternyata",2024-03-20T15:05:12.000Z,"b'No wonder it's so noisy, 40 million people apparently'",NEGATIVE
dquankg,"Dr quick count sampe penetapan pemenang , angka tidak berubah wkwk brrti apa ges .. sudah setungannn😂",2024-03-20T15:05:09.000Z,"From the quick count until the winner is determined, the numbers don't change, so what does that mean? It's already settled.'",NEGATIVE
sarifiif,"Yg Kalah Kalau Mau Nangis... 
Nangis Saja Sepuas Puasnya..,jangan Di Tahan Tangisnya... 

Nangis Saja versi Real count dan Pengumuman KPU... 

🤭",2024-03-20T15:05:51.000Z,"b'If you lose, if you want to cry... \nJust cry as much as you like..., don't hold back your tears... \n\nJust cry according to the real count and KPU announcement... \n\n'",NEGATIVE
bananasplit0981,"Cie cie cie, Ganjar 16%... Baterai lowbat 😂",2024-03-20T15:05:06.000Z,"b'Cie cie cie, Reward 16%... Low battery '",NEGATIVE
poerbadharma,tidak  Benar Ngawur Survei,2024-03-20T15:04:55.000Z,b'Not Really Inconsequential Survey',NEGATIVE
ujang.supriatna.522066,Satu kesalahan dari abah dalam pilpres. Menjadikan agama sebagai kedok😂,2024-03-20T15:53:04.000Z,b'One mistake from father in the presidential election. Using religion as a cover,NEGATIVE
maya.lesmana1,"Alhamdulilah, bukan bagian  dari  58.6% ❤️🔥",2024-03-20T23:29:40.000Z,"Thank God, not part of the 58.6%'",NEGATIVE
renoiskandarsyah,Sesuai rencana Pakde...settingan berhasil!!!!!👏👏👏,2024-03-20T16:12:06.000Z,b'According to Pakde's plan...setting was successful!!!!!',POSITIVE
riof_ahlepi,"Tanggung di akhirat kelak ya,.berpa suara umat kalian permainkan untuk duniawi kalian..",2024-03-20T16:42:25.000Z,"It's your responsibility in the afterlife, how much will your people's votes play for your worldly life...'",POSITIVE
anthoe_ji,Rocky Gerung Sudah Tahu Hasilnya dari Awal...😂😂,2024-03-20T15:36:42.000Z,Rocky Gerung Knew the Results from the Start...',POSITIVE
celebes435,Demokrasi hancur....,2024-03-20T15:51:32.000Z,b'Democracy is destroyed....',NEGATIVE
farabi_al305,"Atur saja bung, anda kan penguasa",2024-03-20T16:52:06.000Z,"b'Just manage it bro, you're the ruler'",POSITIVE
babayazzain1209,Udeh sebulan angka kaga berubah 😂,2024-03-20T16:21:39.000Z,"b'It's been a month, haven't the numbers changed'",NEGATIVE
bungnenot,SIAP² DALANG DI STIR WAYANG JILID II.,2024-03-20T16:20:38.000Z,b'READY FOR THE PUPPETTE IN STIR Puppetry Volume II.',NEGATIVE
nilah.jkt11,Tuch khan bener dugaanku. Pasti sesuai pesanan istana 😂,2024-03-20T16:29:56.000Z,b'Tuch khan my guess is correct. Must be according to the order of the palace',NEGATIVE
tehmegaaulia,Hasbunalloh wa ni'mal wakiil ni'mal maulaa wa ni'mannashiir Laa Hawla wa Laa Quwwata illaa Billaah al'Aliyyil al'Adziim.  Kita perbanyak sholawatan Asyghil semoga  yang  dzolim hancur dengan kedzoliman mereka sendiri.,2024-03-20T16:03:03.000Z,"b ""Hasbunalloh wa ni'mal the representative of the Maulaa and the Mighty to Billaah al'Aliyyil al'Adziim. We increase the prayers of Asyghil may the wicked perish with their own wickedness.",POSITIVE
simeraaah,Gedean diskon matahari daripada suara ganjar 😂,2024-03-20T15:21:40.000Z,b'Gedean sun discount from the voice of ganjar',NEGATIVE
anggamovic11,Dr awal smpe  sekarang  tu angka  tidak  berubah2  tetap  58% y 😂😂.,2024-03-20T15:21:54.000Z,"From the beginning until now, the figure has not changed, still 58%.'",POSITIVE
rivoaslamqasmi,@kpu_ri @bawasluri YAKINLAH... AZAB TUHAN ITU SANGAT PEDIH... TUNGGU PERTANGGUNGJAWABAN KALIAN DI AKHIRAT KELAK.... 👏👏👏🔥🔥🔥🔥,2024-03-20T19:37:11.000Z,b'@kpu_ri @bawasluri BE SURE... GOD'S TORTS ARE VERY HORRIBLE... WAIT FOR YOUR ACCOUNTABILITY IN THE END...',NEGATIVE
ndayqts99,PPN naik 12% >< untuk warga miskin selamat atas kerjaan Jokowi kan berkelanjutan bukan berkanjutan @badd_06,2024-03-20T15:26:59.000Z,"VAT increases by 12% >< for the poor, congratulations on Jokowi's work, it's sustainable, not continuous @badd_06'",POSITIVE
robakusrobakus,"Udh Diset  sebelum  tgl 14 ,, hayo ngakuo Qodri 😂",2024-03-20T15:49:54.000Z,"b'It's set before the 14th, let's admit Qodri'",NEGATIVE
daffaafitra,Suro Diro Joyodiningrat Lebur Dining Pangastuti 🔥,2024-03-20T16:45:28.000Z,b'Suro Diro Joyodiningrat Lebur Dining Pangastuti',NEGATIVE
thufail_bakoor,Ok gas ok gas ..makan tabung gas 😂😂😂,2024-03-20T16:19:35.000Z,b'Ok gas ok gas ..eat gas cylinder',NEGATIVE
fitriniais,Sebelum  pemilihan umum   juga  udah tau siapa  yang  menang haha,2024-03-20T17:31:11.000Z,b'Before the general election you already know who will win haha',NEGATIVE
ryanhidaytullah,Au lah atur2 sendiri 😂😂😂😂😂😂 #akalsehat,2024-03-20T15:22:38.000Z,b'Au just arrange it yourself #healthy sense',POSITIVE
marsyafitria9,Alhamdulillah Prabowo Gibran 💙💙💙💙💙💙💙💙💙💙,2024-03-20T15:22:41.000Z,b'Alhamdulillah Prabowo Gibran',POSITIVE
iqbalalmaududi,Sesuai arahan qodari 😍,2024-03-20T15:36:42.000Z,b'According to Qodari's instructions',NEGATIVE
mgaceh28,Angka nya masih sama seperti setelah pencoblosan kemaren....jadi apanya  yang  harus cpek2  menunggu  masyarakat 🧐🧐🤔🤔🤔,2024-03-20T16:27:21.000Z,b'The numbers are still the same as after yesterday's voting....so why should the public wait carefully',NEGATIVE
yadieka1993,Alhamdulillah Saya bukan Bagian dari 58 persen,2024-03-21T03:45:30.000Z,Thank God I'm not part of the 58 percent',NEGATIVE
nisaayaaaaaaah,Barakallah Bapak kami Prabowo❤️❤️❤️❤️,2024-03-21T06:42:53.000Z,God bless our Father Prabowo',POSITIVE
ridlahatake,Jokowi 3 Periode bisa 4 Periode,2024-03-20T17:30:18.000Z,Jokowi 3 Periods can be 4 Periods',NEGATIVE
adam.syahputra7,Pilpres tempahan,2024-03-20T16:37:16.000Z,b'Reserved presidential election',NEGATIVE
sukirno1016,Hasil penggelembungan suara 😂,2024-03-20T19:53:46.000Z,b'Voice inflation results',NEGATIVE
aroby606,Angka yang sudah di seting sebelum pencoblosan😂😂,2024-03-23T23:42:49.000Z,Numbers that have been set before voting',NEGATIVE
muh_haddi,Demokrasi rusak di tangan pakde🔥,2024-03-20T22:29:36.000Z,b'Democracy is broken in Pakde's hands',NEGATIVE
kahendraogi,"Selamat , Prabowo Gibran menang dari Hasil  kelicikan😂",2024-03-20T15:26:01.000Z,"Congratulations, Prabowo Gibran wins from cunning",POSITIVE
theuluwatugaldery,Sudah selesai... Hasil penetapan KPU No.360 tahun 2024,,b'It's finished... Results of KPU's determination No.360 of 2024',POSITIVE
awangssubakti,Kita beri applous buat Rocky Gerung.ramalan Anies  tidak  mungkin menang TERBUKTI 🙌👏👏👏👏,2024-03-20T23:07:00.000Z,b'We give an applause to Rocky Gerung. Anies' prediction is unlikely to win.',NEGATIVE
gie808,"Urrraaaaaa,indonesia punya presiden lansia dan wakil  yang  ngantuk terusss🙌",2024-03-20T15:35:45.000Z,"b'Urrraaaaaa, Indonesia has an elderly president and a deputy who is always sleepy'",NEGATIVE
allnov24,Sesuai apaa yang di rencanakan,2024-03-20T15:53:05.000Z,As planned',POSITIVE
boysagiv,Innalillahi wainnailaihi roji'un😢..,2024-03-20T15:57:02.000Z,"B""Innallillahichetnailaihi roji'un..""",NEGATIVE
jeninofrizon,sehat2 kelurga dinasti,2024-03-20T16:21:33.000Z,healthy dynasty family',NEGATIVE
inuydeyuni,Alhamdulillah saya bagian dari PUTRA INDONESIA ASLI 🌾🌾🌾🌾,2024-03-22T01:54:47.000Z,b'Alhamdulillah I am part of the ORIGINAL PUTRA INDONESIA',POSITIVE
munarulhidayat_,Anak abah pasti kepanasan🙌oopppss😂😂😂😂,2024-03-23T03:23:06.000Z,b'My son must be hot sanoopppss',NEGATIVE
silalahoi_rajagukguk,Dari awal survey sampai akhir angka tetap istiqomah 🔥🔥🔥🔥,2024-03-20T15:16:32.000Z,b'From the start of the survey to the end the numbers remain consistent',POSITIVE
kikiiiiinu,16% AWOAWOKAWOAWOK,2024-03-20T18:17:39.000Z,b'16% AWOWOKAWOWOK',NEGATIVE
burhandalbo,Udah yah main abah abahanya,2024-03-20T19:24:34.000Z,b'I've already played aba',NEGATIVE
baguzgreen,Alhamdulillah 01 & 03 sudah jgn bersedih,2024-03-20T16:21:01.000Z,b'Alhamdulillah 01 & 03 already don't be sad',POSITIVE
riswan_orsa,"Alhamdulillah perjuangan yang sangat berharga, salam no ✌️ pendukung dari Simeulue Aceh. Menyala 🔥",2024-03-20T16:27:12.000Z,"b'Alhamdulillah, the struggle is very worthwhile, greetings from supporters from Simeulue Aceh. Light up '",POSITIVE
saifulkaduanga,"Selamat buat presiden terpili, presiden pilihan  masyarakat  Indonesia 🇮🇩",2024-03-20T17:19:12.000Z,"Congratulations to the elected president, the president chosen by the Indonesian people'",POSITIVE
bim2bhiyul,Yg masih bilang curang merapat ... Yg dari awal teriak² masih saja  tidak  terungkap 😂...🔥🔥🔥,2024-03-20T15:19:31.000Z,b'Those who still say they are cheating close their mouths... Those who shouted from the start are still not revealed...',NEGATIVE
cmillarees,noise minority terbukti cuma 25% wkwkwkk si paling berisik 😂,2024-03-20T21:34:13.000Z,b'noise minority proved to be only 25% wkwkwkkk the noisiest,NEGATIVE
ie.ramadhan,Anak abah sinh sabar yo😍,2024-03-20T16:18:05.000Z,My son is patient,POSITIVE
danukhanafi,"Alhamdulillah Akhirnya penantian panjang  Bapak  Prabowo terwujud dg perjuangan  yang  berliku, Barokalloh !😍",2024-03-20T15:37:04.000Z,"Thank God, Mr. Prabowo's long wait has finally come true with a tortuous struggle, Barokalloh!'",POSITIVE
fauzimiun7,Turun kga naek kga itu persenan dari sblon Pemilu.. wkwkwkwkwkw 😂🤣😅 @ibenk_irawan12,2024-03-20T20:57:28.000Z,b'Going down and up is the percentage from the Election campaign.. wkkwkwkwkw @ibenk_irawan12',NEGATIVE
reinorind,"Mulai besok, udah ya main abah - abahannya 😂",2024-03-20T15:42:39.000Z,"b'Starting tomorrow, let's play with my friends'",POSITIVE
nanangandrianto1927,"Kubu sebelah berharap angka berubah,, gimana berubah  cuma  menang 2 provinsi 😂😂",2024-03-20T16:37:21.000Z,"b'The side on the other side hopes the numbers will change, how can they change and only win 2 provinces'",NEGATIVE
lindapras_,Menyalaa jendralkuuu🔥🔥,2024-03-20T15:34:29.000Z,b'Lighting up my general',POSITIVE
aprii009,01 03 dimohon untuk kesadarannya😂😂😂,2024-03-20T16:11:17.000Z,b'01 03 please be aware',POSITIVE
alfatih_shavic,Alhamdulillah 02👏👏👏👏👏👏👏👏,2024-03-20T19:52:33.000Z,b'Alhamdulillah 02',POSITIVE
tutut4732,Alhamdulillah.... Selamat Bpk Presiden Prabowo Subianto dan Bpk wakil Presiden pilihan Rakyat menang Mutlak 🤲😭🇲🇨❤✌,2024-03-20T17:14:32.000Z,"b'Alhamdulillah.... Congratulations, Mr. President Prabowo Subianto and Mr. Vice President, People's Choice, absolute victory'",POSITIVE
m_zulpikar23,"Itu efeknya telah memberi nilai kepada kemenhan 24% &16%,itu  masyarakat  yang menilai🔥🔥🔥🔥🔥🔥",2024-03-20T16:29:56.000Z,"kb That effect has given the Ministry of Defense a score of 24% & 16%, it's the public who judge'",POSITIVE
irul.choi_,"Selamat Tuhan telah mengizinkan Prabowo Gibran sebagai pemenang, Lanjutkan yang sudah baik (02), Ubah yang masih buruk (01), Perbaiki menjadi lebih baik (03)... Semoga Indonesia menjadi lebih baik. amiiiiin",2024-03-20T15:22:41.000Z,"b'Congratulations, God for allowing Prabowo Gibran to be the winner, Continue what is good (02), Change what is still bad (01), Improve it to be better (03)... Hopefully Indonesia will be better. amen",POSITIVE
thesar_giovani,"Sehat selalu pa prabowo mas gibran,  semoga  Allah bimbing 🤍",2024-03-20T15:11:44.000Z,"Always healthy, Mr Prabowo, Mas Gibran, may Allah guide you'",POSITIVE
shanty_imhello,"Anak abah harap menerima kenyataan, itu suara  masyarakat  ya",2024-03-21T00:33:26.000Z,"b'My son, I hope to accept the statement, that's the voice of the community, yes'",POSITIVE
one_september01,Win 🍺🍻,2024-03-21T00:27:55.000Z,b'Win ',POSITIVE
sunadi4947,"Katanya sirekap bermasalah banyak yang salah input nyatanya sirekap, real count kpu,hitung manual kpu dan quick count sama, hasilnya sama",2024-03-20T16:12:01.000Z,"b'They say there is a problem with Sirekap, many of them have incorrect input, but in fact Sirekap, real count KPU, manual KPU count and quick count are the same, the results are the same'",NEGATIVE
echa.tnd,"Yang menghujat,menghakimi,mengadili sesungguhnya kalianlah yang harus tanggung semuanya diakhirat☺️😇",2024-03-20T21:48:11.000Z,"b'Those who blaspheme, judge, judge, you are the ones who have to bear everything in the afterlife'",NEGATIVE
chelsea_lychee,Pulang demo pergi kepojokan 🤣🤣🤣,2024-03-20T16:11:16.000Z,b'Go home from the demonstration and go to the corner',NEGATIVE
faroaya2,Keren,2024-03-20T16:41:35.000Z,b'Keren',POSITIVE
sefi_tarli,HEBAT 👏👏👏 😂,2024-03-20T16:39:13.000Z,b'GREAT',POSITIVE
wey.coyy,Mantap🔥❤️ menyala Boskuuhh,2024-03-20T16:03:16.000Z,b'Great on Bosskuuhh',POSITIVE
yadisaepuloh0072,Lantik lantik lantik. . . . . . ✌✌😎😎,2024-03-20T16:18:58.000Z,"b'Appoint, appoint, appoint. . . . . . '",NEGATIVE
wk_fsa,Anak abah menagis  sebenarnya 😂😂😂😂😂😂,2024-03-20T16:08:48.000Z,b'My son is really crying',NEGATIVE
kimwinchester,16%....😂😂😂😂,2024-03-20T16:25:25.000Z,b'16%....',POSITIVE
achong_32,"Yah 1 Putaran ,Kasihan Mas anis Dong 😂😂😂😂😂",2024-03-20T15:49:12.000Z,"b'Well 1 Round, Poor Mas Anis Dong'",NEGATIVE
dhiitatituteto,🔥🔥,2024-03-20T16:22:52.000Z,b'',POSITIVE
n_u_r_212,Innalillahi wainnailahi rajiun,2024-03-20T22:28:12.000Z,b'Innalillahi wainnailahi rajiun',NEGATIVE
liahakim04,Selamat dan sukses buat  Bapak  prabowo dan Gibran 😍,2024-03-20T15:18:47.000Z,b'Congratulations and success to Mr Prabowo and Gibran',POSITIVE
agil_prisandi,Dirty vote tak trbntahkan👏👏👏,2024-03-20T15:43:14.000Z,b Dirty vote so trbnt ahkan',NEGATIVE
alphaomega2509,Alhamdulillah ❤️❤️,2024-03-20T16:02:37.000Z,Alhamdulillah,POSITIVE
fatmiany.98,😂😂 Konoha forever hadeuh,2024-03-20T16:03:07.000Z,b' Konoha forever good',POSITIVE
sashaalomaa,"Alhamdulillah,, Allahuakbar ❤️❤️❤️❤️❤️❤️❤️❤️❤️",2024-03-20T16:12:36.000Z,"b'Alhamdulillah,, Allahuakbar'",POSITIVE
titing_ansyafina_marela,Sudah kuduga,2024-03-20T15:48:26.000Z,b'I thought so',POSITIVE
dutaswaraa,Yang menang merayakan yang kalah menjelaskan,2024-03-20T15:47:59.000Z,b'The winner celebrates the loser explains',POSITIVE
arnan89,Alhamdulillah 1 Putaran,2024-03-20T16:37:45.000Z,b'Alhamdulillah 1 Round',POSITIVE
blububiesz,menyala 02 🔥🔥,2024-03-20T15:53:01.000Z,b'lit 02',POSITIVE
aulliiiaa.a,Selamat buat  Bapak  Prabowo🔥🔥💙💙,2024-03-20T15:54:20.000Z,Congratulations to Mr Prabowo',POSITIVE
aliasar5632,"Asa tak percaya,",2024-03-20T16:25:44.000Z,"b'Asa can't believe it,'",NEGATIVE
bang_zoy1414,Alhamdulillah🔥🔥,2024-03-20T16:05:34.000Z,Alhamdulillah,POSITIVE
zeevananiia,"Sekarebmu lahhh, atur saja",2024-03-20T16:41:05.000Z,"b'It's up to you, just arrange it'",POSITIVE
ayumardjan,"Innalillahi, Astaghfirullahaladzim...",2024-03-20T15:22:17.000Z,"Innalillahi, Astaghfirullahaladzim...'",NEGATIVE
autofaedah,😢,2024-03-20T16:28:52.000Z,b'',POSITIVE
mommy_aish312,Yuk  makan  yuk,2024-03-20T16:20:55.000Z,"Come on, let's eat'",POSITIVE
tenartecurio,Hasil ngibul,2024-03-20T16:04:52.000Z,b'Hasil ngibul',NEGATIVE
mayasari_account,Alkhamdulillah ❤️,2024-03-20T16:07:54.000Z,Thank God A,POSITIVE
ahmad_firdon,SUKA SUKA LAU DAHHH,2024-03-20T16:00:20.000Z,b'LOVE IT LIKE IT DAHHH',POSITIVE
bobyagustin_559,🔥🔥🔥🙌🙌🙌👏👏👏👏,2024-03-20T16:07:35.000Z,b'',POSITIVE
dny_0808,Selamat ya min @tvonenews,2024-03-20T16:04:30.000Z,b'Congratulations min @tvonenews',POSITIVE
ismail_mudrikah,Menyala abangku ✌🔥🔥,2024-03-20T15:55:44.000Z,b'Light my brother',POSITIVE
rizkyazwandani,Jengah !,2024-03-20T15:58:06.000Z,b'Jengah!',NEGATIVE
bagyo_s,Omob omon,2024-03-20T15:58:50.000Z,b'Omob omon',NEGATIVE
afif_1092,"Dr pose fotonya kita bisa tau antara Paslon 1, 2 & 3😂😂😂",2024-03-20T15:55:48.000Z,"Based on the pose of the photo, we can tell between Candidate Candidates 1, 2 & 3'",NEGATIVE
cupunimas,SIAP SIAP ANDA MENYESAL 🔥🔥🔥 DAN AKAN DI PERTANGGUNGJAWABKAN DI AKHIRAT 🔥🔥🔥🔥🔥,2024-03-20T15:49:51.000Z,b'BE READY TO REGRET AND YOU WILL BE ACCOUNTABLE IN THE END',POSITIVE
mr.athaillah_abhinaya,👏👏🔥,2024-03-20T15:52:43.000Z,b'',POSITIVE
sandi_bsb,Skenario Done 😂,2024-03-20T15:44:51.000Z,b'Scenario Done',NEGATIVE
azzahra_helwah,Hasil tidak  resmi,2024-03-20T15:45:37.000Z,b'Unofficial results',NEGATIVE
zl1587342,Anjayy Ganjar tetap di kasih baterai lowbet 16 % tapi partai nya juara 1,2024-03-20T15:46:52.000Z,b'Anjayy Ganjar is still given a 16% lowbet battery but his party won 1st place',POSITIVE
jennihutasoitt,👏,2024-03-20T15:48:30.000Z,b'',POSITIVE
ujang.supriatna.522066,Yang kalah kasihan deh😂,2024-03-20T15:51:23.000Z,b'I'm sorry for the loser',NEGATIVE
satriadiyuda,Ok gas ok gas...menyala,2024-03-20T15:50:32.000Z,b'Ok gas ok gas...lit',POSITIVE
cupunimas,HASIL YG MEMBUSUKKAN 🔥🔥🔥,2024-03-20T15:49:02.000Z,b'ROTTING RESULTS',NEGATIVE
achong_32,@khalayak.suwung_,2024-03-20T15:49:17.000Z,b'@khalayak.suwung_',NEGATIVE
nita_nasution80,Alhamdulillah 🔥🔥🔥..,2024-03-20T15:45:39.000Z,b'Alhamdulillah ..',NEGATIVE
hifza_kenneth,Selamat  Bapak  @prabowo,2024-03-20T15:42:02.000Z,b'Congratulations Mr @prabowo',POSITIVE
erwin.dermawan,Selamat bapak @prabowo we love you 😍😍,2024-03-20T15:42:55.000Z,Congratulations Mr @prabowo we love you',POSITIVE
ihwan1496,Suara apaan tuh  cuma  16%😢😢,2024-03-20T15:39:51.000Z,b'The vote is only 16%',NEGATIVE
esssyaaaaa,Menyalaa presidenkuu🔥,2024-03-20T15:43:55.000Z,b'Light up my president',POSITIVE
ardy_arter,Selamat  Bapak  prabowo❤️,2024-03-20T15:41:41.000Z,b'Congratulations Mr Prabowo',POSITIVE
kifli_bekatul,Mkn gretong 2049😂,2024-03-20T15:41:52.000Z,b'Mkn gretong 2049',NEGATIVE
reza_mzsyah,😮 sudah tak mengherankan,2024-03-20T15:38:13.000Z,b' it's no surprise',NEGATIVE
solah_al_ayuby7,Tetep indonesia butuh perubaha,2024-03-20T15:37:37.000Z,Indonesia still needs change',NEGATIVE
ary147344,"Pemilu formalitas,Brantas korupsi sampai tuntas.",2024-03-20T15:38:58.000Z,"b'Election formalities, eradicate corruption completely.'",POSITIVE
limitskyblue7,Alhamdulillah 02 win.❤️,2024-03-20T15:38:41.000Z,b'Alhamdulillah 02 win.',POSITIVE
haikal_velg,Akhir nya moncong putih bobok manis,2024-03-20T15:39:18.000Z,b'Finally his sweet little white snout',POSITIVE
ita_purnama0192,"Alhamdulillah,congratulation  Bapak  jendral 🎉🎉🎉",2024-03-20T15:39:31.000Z,"Alhamdulillah, congratulations Mr General",POSITIVE
mastukipandi,Yg ngaku 35% ngacung,2024-03-20T15:39:38.000Z,b'Those who claim 35% are proud',POSITIVE
ez0795,Angket tetap berlanjut🙌🙌🙌,2024-03-20T15:33:53.000Z,b'The inquiry continues',POSITIVE
meikosaputra,Alhamdulillah sudah resmi. Selamat  Bapak  prabowo 🙂,2024-03-20T15:37:26.000Z,b'Thank God it's official. Congratulations Mr Prabowo',POSITIVE
decachazz,Hasyim mimik mukanya kayak tertekan gtu....kasian,2024-03-20T15:36:23.000Z,b'Hasyim's facial expression looks like he's depressed...poor thing',NEGATIVE
neeaaa21,2 tahun kemudian Indonesia menjadi bangkrut🔥🔥,2024-03-20T15:34:55.000Z,b'2 years later Indonesia became bankrupt',NEGATIVE
l.hakim07,selamat menikmati👏👏👏,2024-03-20T15:36:38.000Z,enjoy',POSITIVE
nafisah7567,Ayok tolak hasil KPU kayak Prabowo 2019 🤣,2024-03-20T15:34:25.000Z,b'Let's reject KPU results like Prabowo 2019',NEGATIVE
fitri_elmi,Keliatan amat sangat hasil typu typu  dari  awal ..sampai akhir bagaimana menutupi kebohongan  yang   sudah  di skenariokan...🔥,2024-03-20T15:34:52.000Z,"b'It looks like the result of a hoax from the beginning...until the end, how to cover up the lies that have been scripted...'",NEGATIVE
tri_rengga,gelandangan yaman.... imam budi,2024-03-20T15:34:31.000Z,b'Yemeni tramp.... Imam Budi',NEGATIVE
gemarbola07,Selamat  Bapak  prabowo🔥🔥🔥,2024-03-20T15:35:29.000Z,b'Congratulations Mr Prabowo',POSITIVE
wibowocandraa,"Janggal, sejak awal perhitungan sampai pengumuman tetap  tidak  geser di 58 %.",2024-03-20T15:33:27.000Z,"b'Strange, since the start of the calculation until the announcement it still hasn't moved at 58%.'",NEGATIVE
sukma_permana22,"Alhamdulillah, selamat untuk Prabowo-gibran 👏👏👏",2024-03-20T15:33:32.000Z,"b'Alhamdulillah, congratulations to Prabowo-gibran'",POSITIVE
kocakngakak69,INGAT KATA BAHLIL LAHADILA 😂,2024-03-20T15:26:54.000Z,b'REMEMBER THE WORDS OF BAHLIL LAHADILA',POSITIVE
mochlanaa,Settingan keluarga,2024-03-20T15:25:40.000Z,b'Family setting',POSITIVE
rullyichsansitepu,YaaaaaY !!!! Selamat Pak @prabowo dan Mas @gibran_rakabuming !!! 👏👏👏,2024-03-20T15:26:22.000Z,b'YaaaaaY!!!! Congratulations Mr @prabowo and Mr @gibran_rakabuming!!! ',POSITIVE
havidz98,Sempurna sesuai rencana 😂😂😂👏 selamat pa jokowi mission completed,2024-03-20T15:24:08.000Z,Perfect according to plan congratulations Mr Jokowi mission completed',POSITIVE
banufatih57,Sipaling NABRAK akhirnya menang 😂,2024-03-20T15:22:23.000Z,The one who crashes finally wins',POSITIVE
likaleeku,Ku kira 2 putaran ternyata 2 provinsi,2024-03-20T15:24:27.000Z,b'I thought 2 rounds turned out to be 2 provinces',NEGATIVE
